Rede,Bairro,Endereço,Região,CEP,Cidade,Tipo de recarga,Tipo de Estabelecimento,Estabelecimento,Tipo de Atendimento
PLDEVICE,REPÚBLICA,"RUA DO AROUCHE, 24",CENTRO,01219-000,SÃO PAULO,VALE TRANSPORTE-LISTA WEB-PASSE LIVRE ESTUDANTE,ESTAÇÃO DE METRÔ,ESTAÇÃO REPÚBLICA,PÚBLICO
PLDEVICE,REPÚBLICA,"RUA ARAÚJO, 70, COND. PRESIDENTE KENEDY",CENTRO,01220-020,SÃO PAULO,VALE TRANSPORTE-LISTA WEB-PASSE LIVRE ESTUDANTE,EMPRESA,TESTE TERMINAL,PRIVADO
PLDEVICE,SANTA CECILIA,"ALAMEDA GLETE, 433",CENTRO,01215-000,SÃO PAULO,VALE TRANSPORTE-LISTA WEB-PASSE LIVRE ESTUDANTE,TERMINAL DE ÔNIBUS,TERMINAL PRINCESA ISABEL,PÚBLICO
PLDEVICE,SANTA CECILIA,"RUA DR. FREDERICO STEIDEL, 107",CENTRO,01225-030,SÃO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,TERMINAL DE ÔNIBUS,TERMINAL AMARAL GURGEL,PÚBLICO
PLDEVICE,SANTA CECILIA,"RUA ROSA E SILVA, 37",CENTRO,01230-020,SÃO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BOMBONIERE,DOCES DA MARECHAL,PÚBLICO
PLDEVICE,SANTA CECILIA,"RUA BARONESA DE ITU, 539",CENTRO,01231-000,SÃO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA BARONESA,PÚBLICO
PLDEVICE,SANTA CECILIA,"ALAMEDA BARROS, 584",CENTRO,01232-000,SÃO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA  BARROS,PÚBLICO
PLDEVICE,SANTA CECÍLIA,"RUA FREDERICO STENDEL, 107, ESQUINA RUA ANA CINTRA",CENTRO,01225-030,SÃO PAULO,VALE TRANSPORTE-LISTA WEB-PASSE LIVRE ESTUDANTE,TERMINAL DE ÔNIBUS,TERMINAL AMARAL GURGEL,PÚBLICO
PLDEVICE,SE,"RUA TABATINGUERA, 514/520",CENTRO,01020-000,SÃO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,EQUIPAMENTOS,RV,PÚBLICO
PLDEVICE,SÉ,"PRAÇA DA SÉ, 155, EM FRENTE",CENTRO,01001-000,SÃO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA PADRE ANCHIETA,PÚBLICO
PLDEVICE,SÉ,"PRAÇA DO PATRIARCA, 2",CENTRO,01002-010,SÃO PAULO,VALE TRANSPORTE-LISTA WEB-PASSE LIVRE ESTUDANTE,SERV. MUNICIPAIS,GALERIA PRESTES MAIA,PÚBLICO
PLDEVICE,SÉ,"VIADUTO BOA VISTA, S/N",CENTRO,01014-030,SÃO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA DAS APOSTILAS,PÚBLICO
PLDEVICE,SÉ,"PRAÇA DR. JOÃO MENDES, 62",CENTRO,01501-000,SÃO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA SANTORO,PÚBLICO
PLDEVICE,SÉ,"PRAÇA JOÃO MENDES, 11",CENTRO,01501-000,SÃO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA DOS PRIMOS,PÚBLICO
PLDEVICE,SUMARE,"RUA TACITO DE ALMEIDA, 80",CENTRO,01251-010,SÃO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA NOVA PACAEMBU,PÚBLICO
PLDEVICE,SUMARÉ,"AV. DR. ARNALDO, 2405",CENTRO,01255-000,SÃO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,SEGURANÇA,ASTER SISTEMAS DE SEGURANÇA,PÚBLICO
